key,ru,ro,en
"ui.seoNotFoundTitle","Страница не найдена — Gamarjoba","Pagina nu a fost găsită — Gamarjoba","Page not found — Gamarjoba"
"ui.seoNotFoundDesc","Такой страницы на сайте Gamarjoba нет. Вернитесь на главную или откройте меню ресторана.","Această pagină nu există pe site-ul Gamarjoba. Reveniți la pagina principală sau deschideți meniul.","There is no such page on the Gamarjoba site. Go back home or open the restaurant menu."
"ui.seoLocale","ru_RU","ro_RO","en_US"
"ui.heroEyebrow","Грузинская кухня · Кишинёв","Bucătărie georgiană · Chișinău","Georgian cuisine · Chișinău"
"ui.heroSub","По-грузински — <em>«здравствуй»</em>. Буквально — <em>«победа тебе»</em>.<br />Здесь так встречают каждого гостя.","În georgiană — <em>„bună ziua”</em>. Literal — <em>„victorie ție”</em>.<br />Așa întâmpinăm fiecare oaspete.","In Georgian it means <em>“hello”</em>. Literally — <em>“victory to you”</em>.<br />That is how we greet every guest."
"ui.heroTitle2","Откройте для себя Грузию","Descoperă Georgia","Discover Georgia"
"ui.heroSub2","Земля древних гор, гостеприимства и бесконечного вкуса вина","Ținutul munților străvechi, al ospitalității și al gustului nesfârșit de vin","A land of ancient mountains, hospitality and the endless taste of wine"
"ui.heroCta","Смотреть меню","Vezi meniul","See the menu"
"ui.storyLabel","Наша история","Povestea noastră","Our story"
"ui.storyTitle","Грузия<br /><em>на одном столе</em>","Georgia<br /><em>la o singură masă</em>","Georgia<br /><em>on one table</em>"
"ui.storyLead","Gamarjoba по-грузински значит «здравствуй» — и с этого слова начинается каждый вечер у нас. Мы привезли в Кишинёв дух супры, грузинского застолья: тёплый хлеб из глиняной печи, щедрые порции и вино, которое льётся, пока звучат тосты.","Gamarjoba în georgiană înseamnă „bună ziua” — și cu acest cuvânt începe fiecare seară la noi. Am adus la Chișinău spiritul suprei, ospățul georgian: pâine caldă din cuptor de lut, porții generoase și vin care curge cât se rostesc toasturile.","Gamarjoba means “hello” in Georgian — and every evening here begins with that word. We brought the spirit of the supra, the Georgian feast, to Chișinău: warm bread from a clay oven, generous plates, and wine that keeps flowing as the toasts are made."
"ui.storyText","Каждое блюдо здесь — маленькая история. Аджарули пекут в форме лодочки, чтобы удержать солнце из сыра и яйца. Хинкали лепят вручную и едят руками, сначала выпивая горячий бульон. Мцвади жарят только на живых углях, без спешки. А вино мы наливаем из квеври — глиняных сосудов, что вызревают в земле, как тысячу лет назад. Приходите — и Грузия окажется ближе, чем кажется.","Fiecare fel de mâncare e o mică poveste. Adjaruli se coace în formă de luntre, ca să țină soarele din brânză și ou. Hinkali se modelează manual și se mănâncă cu mâna, sorbind mai întâi zeama fierbinte. Mtsvadi se frige doar pe cărbuni, fără grabă. Iar vinul îl turnăm din kvevri — vase de lut ce se maturează în pământ, ca acum o mie de ani. Veniți — și Georgia va fi mai aproape decât pare.","Every dish here is a small story. Adjaruli is baked boat-shaped to cradle its sun of cheese and egg. Khinkali are folded by hand and eaten with your fingers, the hot broth sipped first. Mtsvadi is grilled over live coals alone, unhurried. And the wine we pour from qvevri — clay vessels that ripen in the earth as they did a thousand years ago. Come, and Georgia will feel closer than you thought."
"ui.aboutTitle","О ресторане","Despre restaurant","About the restaurant"
"ui.aboutText","Gamarjoba — это про настоящую Грузию: щедрый стол, живой огонь и рецепты, которые передаются в семьях из поколения в поколение. Мы не имитируем грузинскую кухню — мы её проживаем. Каждое блюдо готовит наш шеф-повар по традиционным рецептам, а гости уходят с ощущением, что побывали в гостях у большой грузинской семьи.","Gamarjoba înseamnă Georgia adevărată: masă îmbelșugată, foc viu și rețete transmise în familii din generație în generație. Nu imităm bucătăria georgiană — o trăim. Fiecare fel de mâncare e gătit de bucătarul nostru după rețete tradiționale, iar oaspeții pleacă cu senzația că au fost în ospeție la o mare familie georgiană.","Gamarjoba is about the real Georgia: a generous table, live fire and recipes passed down in families from generation to generation. We don't imitate Georgian cuisine — we live it. Every dish is cooked by our chef to traditional recipes, and guests leave feeling they've been welcomed into a big Georgian family."
"ui.sourceTitle","Продукты, которым можно доверять","Produse în care poți avea încredere","Ingredients you can trust"
"ui.sourceText","Мы сами ездим за продуктами. Мясо для мцвади и хинкали — с проверенных ферм, зелень и овощи — свежие, специи — привезённые. Прежде чем блюдо попадёт к вам на стол, мы знаем, откуда оно. Именно поэтому вкус получается таким, каким он должен быть.","Mergem noi înșine după produse. Carnea pentru mtsvadi și hinkali — de la ferme verificate, verdeața și legumele — proaspete, mirodeniile — aduse special. Înainte ca un fel de mâncare să ajungă pe masa voastră, știm de unde vine. De aceea gustul iese exact așa cum trebuie.","We go for the ingredients ourselves. The meat for mtsvadi and khinkali comes from trusted farms, the herbs and vegetables are fresh, the spices are brought in. Before a dish reaches your table, we know where it came from. That's why the taste turns out exactly as it should."
"ui.bookCta","Забронировать стол","Rezervă o masă","Book a table"
"ui.bookWhatsApp","Написать в WhatsApp","Scrie pe WhatsApp","Message on WhatsApp"
"ui.introText","<strong>Хачапури</strong> из глиняной печи, <strong>хинкали</strong> с горячим бульоном, <strong>мясо на живых углях</strong> и вино из квеври. Мы готовим так, как готовят дома в Грузии, — <em>щедро и без спешки.</em>","<strong>Khachapuri</strong> din cuptor de lut, <strong>hinkali</strong> cu supă fierbinte, <strong>carne pe cărbuni</strong> și vin din kvevri. Gătim ca acasă în Georgia — <em>generos și fără grabă.</em>","<strong>Khachapuri</strong> from a clay oven, <strong>khinkali</strong> full of hot broth, <strong>meat over live coals</strong> and qvevri wine. We cook the way they cook at home in Georgia — <em>generously and unhurried.</em>"
"ui.dishesLabel","01 — Выбор шеф-повара","01 — Recomandările șefului","01 — Chef's choice"
"ui.dishesTitle","Знаковые<br /><em>блюда</em>","Bucate<br /><em>emblematice</em>","Signature<br /><em>dishes</em>"
"ui.dishesHint","Нажмите на блюдо, чтобы узнать о нём больше","Apăsați pe un fel de mâncare pentru a afla mai multe","Tap a dish to learn more about it"
"ui.dishesMore","Смотреть всё меню","Vezi tot meniul","See the full menu"
"ui.visitLabel","02 — Найти нас","02 — Unde suntem","02 — Find us"
"ui.visitTitle","Приходите<br /><em>в гости</em>","Veniți<br /><em>în ospeție</em>","Come<br /><em>visit us</em>"
"ui.visitAddress","Адрес","Adresa","Address"
"ui.visitAddressVal","Aleea Mircea cel Bătrân 6,<br />Кишинёв, Молдова","Aleea Mircea cel Bătrân 6,<br />Chișinău, Moldova","Aleea Mircea cel Bătrân 6,<br />Chișinău, Moldova"
"ui.visitHours","Часы","Program","Hours"
"ui.visitHoursVal","Ежедневно<br />11:00 — 23:00","Zilnic<br />11:00 — 23:00","Daily<br />11:00 — 23:00"
"ui.visitBook","Бронь стола","Rezervări","Book a table"
"ui.footerCopy","© 2026 Gamarjoba · Кишинёв","© 2026 Gamarjoba · Chișinău","© 2026 Gamarjoba · Chișinău"
"ui.notFoundLabel","Ошибка 404","Eroare 404","Error 404"
"ui.notFoundTitle","Такой страницы<br /><em>у нас нет</em>","Această pagină<br /><em>nu există</em>","This page<br /><em>doesn't exist</em>"
"ui.notFoundText","Возможно, блюдо переехало в другой раздел меню или в ссылке опечатка. Хачапури, впрочем, на месте — загляните в меню.","Poate că preparatul s-a mutat în alt capitol al meniului sau linkul are o greșeală. Khachapuri, oricum, e la locul lui — aruncați o privire în meniu.","The dish may have moved to another part of the menu, or the link has a typo. The khachapuri, however, is right where it was — take a look at the menu."
"ui.notFoundHome","На главную","Acasă","Home"
"ui.footerHome","gamarjoba — на главную","gamarjoba — acasă","gamarjoba — home"
"ui.menuEyebrow","Все цены — в леях · RO · RU · EN","Toate prețurile — în lei · RO · RU · EN","All prices in MDL · RO · RU · EN"
"ui.menuSub","Полное меню — как в ресторане, до последнего соуса.<br /><em>Скажите официанту, если у вас аллергия на какие-либо продукты.</em>","Meniul complet — ca în restaurant, până la ultimul sos.<br /><em>Vă rugăm să informați chelnerul dacă aveți alergii alimentare.</em>","The full menu — just like in the restaurant, down to the last sauce.<br /><em>Please tell your waiter about any food allergies.</em>"
"ui.tabKitchen","Кухня","Bucătărie","Kitchen"
"ui.tabBar","Бар","Bar","Bar"
"ui.menuOutro","Не можете выбрать? Позвоните — соберём стол под вашу компанию.","Nu vă puteți decide? Sunați-ne — pregătim masa pentru compania voastră.","Can't decide? Call us — we'll set the table for your party."
"ui.menuOutroCta","Забронировать · +373 69 904 304","Rezervă · +373 69 904 304","Book · +373 69 904 304"
"ui.dishWeight","Вес","Gramaj","Weight"
"ui.dishPrice","Цена","Preț","Price"
"ui.dishAbout","О блюде","Despre","About"
"ui.dishHow","Как это едят","Cum se mănâncă","How to eat it"
"ui.dishNext","Следующее блюдо","Următorul fel","Next dish"
"ui.dishAdd","В корзину","În coș","Add to cart"
"ui.dishNoAllergens","без аллергенов","fără alergeni","no allergens"
"ui.dishVariants","Варианты","Variante","Options"
"ui.badgePremium","Особый выбор","Premium","Premium"
"ui.badgeLegend","Легенда Грузии","Legendar","Legendary"
"ui.badgeClassic","Вечная классика","Clasic","Timeless classic"
"ui.badgeBestseller","Хит продаж","Best seller","Best seller"
"ui.cartTitle","Корзина","Coș","Cart"
"ui.cartEmpty","Пока пусто.<br /><em>Загляните в меню — там хачапури.</em>","Deocamdată e gol.<br /><em>Aruncați o privire în meniu — e khachapuri acolo.</em>","Empty for now.<br /><em>Take a look at the menu — there's khachapuri.</em>"
"ui.cartTotal","Итого","Total","Total"
"ui.cartNote","Позвоните нам и продиктуйте заказ — соберём к вашему приходу или к брони стола.","Sunați-ne și dictați comanda — o pregătim pentru sosirea sau rezervarea dvs.","Call us and read out your order — we'll have it ready for your arrival or booking."
"ui.cartCall","Позвонить и заказать · +373 69 904 304","Sună și comandă · +373 69 904 304","Call to order · +373 69 904 304"
"ui.cartClear","Очистить корзину","Golește coșul","Clear cart"
"ui.cartOrder","Заказать в WhatsApp","Comandă pe WhatsApp","Order via WhatsApp"
"ui.cartOrderNote","Заполните имя и телефон — заказ откроется готовым сообщением в WhatsApp, останется нажать «Отправить».","Completați numele și telefonul — comanda se va deschide ca mesaj gata în WhatsApp, rămâne doar să apăsați „Trimite”.","Fill in your name and phone — the order opens as a ready message in WhatsApp, just press Send."
"ui.cartName","Имя","Nume","Name"
"ui.cartPhone","Телефон","Telefon","Phone"
"ui.cartComment","Комментарий (время, адрес, пожелания)","Comentariu (oră, adresă, dorințe)","Note (time, address, wishes)"
"ui.cartOrEmpty","Добавьте блюда, чтобы оформить заказ","Adăugați bucate pentru a comanda","Add dishes to place an order"
"ui.waTitle","Новый заказ с сайта Gamarjoba","Comandă nouă de pe site-ul Gamarjoba","New order from the Gamarjoba website"
"ui.waOrder","Заказ","Comanda","Order"
"ui.waTotal","Итого","Total","Total"
"ui.waName","Имя","Nume","Name"
"ui.waPhone","Телефон","Telefon","Phone"
"ui.waComment","Комментарий","Comentariu","Note"
"menu.chef.title","Выбор шеф-повара","Recomandările șefului","Chef's choice"
"menu.chef.shurpa.name","Shurpa","Shurpa","Shurpa"
"menu.chef.shurpa.desc","Шурпа — густой суп из ягнёнка","Supă groasă de miel","Thick lamb soup"
"menu.chef.adjaruli.name","Adjaruli","Adjaruli","Adjaruli"
"menu.chef.adjaruli.desc","Хачапури-лодочка с яйцом","Luntre khachapuri cu ou","Boat khachapuri with egg"
"menu.chef.badrijani.name","Badrijani","Badrijani","Badrijani"
"menu.chef.badrijani.desc","Рулетики из баклажана с орехом","Rulouri de vinete cu nuci","Aubergine rolls with walnuts"
"menu.chef.mtsvadi.name","Mtsvadi из телятины","Mtsvadi Vițel","Veal mtsvadi"
"menu.chef.mtsvadi.desc","Телятина на углях","Vițel pe cărbuni","Charcoal-grilled veal"
"menu.sets.title","Мясные сеты для компаний","Platouri pentru companii","Family platters"
"menu.sets.set-din-carne-mix.name","Мясной сет «Микс»","Set din carne Mix","Mixed meat platter"
"menu.sets.set-din-carne-mix.desc","Ягнёнок, телятина, свинина: рёбрышки, кебаб, шашлык, абхазура","Miel, vițel, porc: costițe, kebab, frigărui, abhazura","Lamb, veal, pork: ribs, kebab, skewers, abkhazura"
"menu.sets.set-din-carne-de-miel.name","Сет из ягнёнка","Set din carne de miel","Lamb platter"
"menu.sets.set-din-carne-de-miel.desc","Пир из ягнёнка: каре, шашлык, люля, вырезка","Ospăț de miel: cotlete, frigărui, liulea, mușchi","A lamb feast: rack, skewers, kebab, tenderloin"
"menu.sets.set-din-carne-de-porc.name","Сет из свинины","Set din carne de porc","Pork platter"
"menu.sets.set-din-carne-de-porc.desc","Свиной сет: рёбрышки, шашлык, люля-кебаб","Set de porc: costițe, frigărui, liulea-kebab","Pork set: ribs, skewers, lula kebab"
"menu.sets.set-din-carne-de-pui.name","Сет из курицы","Set din carne de pui","Chicken platter"
"menu.sets.set-din-carne-de-pui.desc","Куриный сет: крылышки, голени, бёдра с овощами гриль","Set de pui: aripioare, pulpe, copane cu legume la grătar","Chicken set: wings, drumsticks, thighs with grilled vegetables"
"menu.cold.title","Холодные закуски","Gustări reci","Cold starters"
"menu.cold.mtsnili.name","Mtsnili","Mtsnili","Mtsnili"
"menu.cold.mtsnili.desc","Грузинские соленья: зелёные помидоры, огурцы, чеснок, капуста","Murături georgiene: roșii verzi, castraveți, usturoi, varză","Georgian pickles: green tomatoes, cucumbers, garlic, cabbage"
"menu.cold.kveli.name","Kveli","Kveli","Kveli"
"menu.cold.kveli.desc","Тарелка крафтовых сыров: сулугуни, имеретинский, копчёный, с орехами","Selecție de brânzeturi: suluguni, imereti, afumată, cu nuci","Craft cheese board: sulguni, Imeretian, smoked, with walnuts"
"menu.cold.tevzis-assorti.name","Tevzis Assorti","Tevzis Assorti","Tevzis Assorti"
"menu.cold.tevzis-assorti.desc","Рыбное ассорти: лосось, масляная, скумбрия","Platou de pește: somon, pește-unt, macrou","Fish platter: salmon, butterfish, mackerel"
"menu.cold.khortcis-assorti.name","Khortcis Assorti","Khortcis Assorti","Khortcis Assorti"
"menu.cold.khortcis-assorti.desc","Мясная тарелка: сало, колбаска, пастрома, почеревка","Platou cu carne: slănină, cârnăciori, pastramă, piept de porc","Meat plate: lard, sausage, pastrami, pork belly"
"menu.cold.mokharshuli-ena.name","Mokharshuli Ena","Mokharshuli Ena","Mokharshuli Ena"
"menu.cold.mokharshuli-ena.desc","Отварной говяжий язык с хреном и горчицей","Limbă de vită fiartă cu hrean și muștar","Boiled beef tongue with horseradish and mustard"
"menu.cold.bulgaruli.name","Bulgaruli","Bulgaruli","Bulgaruli"
"menu.cold.bulgaruli.desc","Запечённый перец с ореховой начинкой","Ardei copți umpluți cu pastă de nuci","Roasted peppers stuffed with walnut paste"
"menu.cold.heringi-kartophilit.name","Heringi Kartophilit","Heringi Kartophilit","Heringi Kartophilit"
"menu.cold.heringi-kartophilit.desc","Сельдь с золотистым запечённым картофелем","Hering cu cartofi copți aurii","Herring with golden roasted potatoes"
"menu.cold.bostneulis-assorti.name","Bostneulis Assorti","Bostneulis Assorti","Bostneulis Assorti"
"menu.cold.bostneulis-assorti.desc","Свежие садовые овощи и много зелени","Legume proaspete de grădină și multă verdeață","Fresh garden vegetables and lots of greens"
"menu.hot-starters.title","Горячие закуски","Gustări calde","Hot starters"
"menu.hot-starters.creveti-cu-spanac.name","Креветки со шпинатом","Creveți cu spanac","Prawns with spinach"
"menu.hot-starters.creveti-cu-spanac.desc","Креветки со шпинатом","Creveți cu spanac","Prawns with spinach"
"menu.hot-starters.shkmeruli.name","Shkmeruli","Shkmeruli","Shkmeruli"
"menu.hot-starters.shkmeruli.desc","Цыплёнок в чесночно-сливочном соусе","Pui în sos cremos de usturoi","Chicken in creamy garlic sauce"
"menu.hot-starters.djigari.name","Djigari","Djigari","Djigari"
"menu.hot-starters.djigari.desc","Джигари — жаркое из печени","Ficăței sotați cu ceapă","Sautéed liver with onions"
"menu.hot-starters.kucimaci.name","Kucimaci","Kucimaci","Kucimaci"
"menu.hot-starters.kucimaci.desc","Кучмачи — потроха с орехами и специями","Kuchmachi — măruntaie cu nuci și mirodenii","Kuchmachi — giblets with walnuts and spices"
"menu.hot-starters.4.name","Бараньи семенники","Semințe de miel","Lamb fries"
"menu.hot-starters.4.desc","Бараньи семенники на углях","Fudulii de miel pe cărbuni","Lamb fries over coals"
"menu.hot-starters.dolma.name","Dolma","Dolma","Dolma"
"menu.hot-starters.dolma.desc","Долма — виноградные листья с мясом","Dolma — frunze de viță cu carne","Dolma — vine leaves stuffed with meat"
"menu.hot-starters.soko-ketze.name","Soko Ketze","Soko Ketze","Soko Ketze"
"menu.hot-starters.soko-ketze.desc","Грибы под сулугуни на кеци","Ciuperci cu suluguni la ketsi","Mushrooms with sulguni on a ketsi pan"
"menu.hot-starters.lobio-cu-nuci.name","Lobio с орехами","Lobio cu nuci","Lobio with walnuts"
"menu.hot-starters.lobio-cu-nuci.desc","Лобио с орехами","Lobio cu nuci","Lobio with walnuts"
"menu.hot-starters.lobio.name","Lobio","Lobio","Lobio"
"menu.hot-starters.lobio.desc","Лобио — томлёная фасоль со специями","Lobio — fasole înăbușită cu mirodenii","Lobio — slow-cooked beans with spices"
"menu.hot-starters.tsitsila-tabaka.name","Tsitsila Tabaka","Tsitsila Tabaka","Tsitsila Tabaka"
"menu.hot-starters.tsitsila-tabaka.desc","Цыплёнок табака (цена за 100 г)","Pui tabaka (preț per 100 g)","Chicken tabaka (price per 100 g)"
"menu.salads.title","Салаты","Salate","Salads"
"menu.salads.salata-gamarjoba.name","Салат «Gamarjoba»","Salată Gamarjoba","Gamarjoba salad"
"menu.salads.salata-gamarjoba.desc","Фирменный салат","Salata casei","Our signature salad"
"menu.salads.salata-cu-limba.name","Салат с языком","Salată cu limbă","Beef tongue salad"
"menu.salads.salata-cu-limba.desc","Салат с языком","Salată cu limbă","Beef tongue salad"
"menu.salads.salata-kahetiana.name","Кахетинский салат","Salată Kahetiană","Kakhetian salad"
"menu.salads.salata-kahetiana.desc","Кахетинский салат","Salată kahetiană","Kakhetian salad"
"menu.salads.atsatsili-de-vinete.name","Atsatsili из баклажанов","Atsatsili de vinete","Atsatsili with aubergine"
"menu.salads.atsatsili-de-vinete.desc","Ацацили: печёные баклажаны, орех, кинза","Vinete coapte, nuci, coriandru","Roasted aubergine, walnuts, coriander"
"menu.salads.salata-guriana.name","Гурийский салат","Salată Guriană","Gurian salad"
"menu.salads.salata-guriana.desc","Гурийский: с грецким орехом и киндзой","Guriană: cu nuci și coriandru","Gurian: with walnuts and coriander"
"menu.salads.salata-georgiana.name","Грузинский салат","Salată Georgiană","Georgian salad"
"menu.salads.salata-georgiana.desc","Грузинский: помидоры, огурцы, базилик","Georgiană: roșii, castraveți, busuioc","Georgian: tomatoes, cucumbers, basil"
"menu.soups.title","Первые блюда","Primele feluri","Soups"
"menu.soups.shurpa.name","Shurpa","Shurpa","Shurpa"
"menu.soups.shurpa.desc","Наваристый суп из ягнёнка","Supă consistentă de miel","Rich lamb soup"
"menu.soups.bors-rosu.name","Красный борщ","Borș roșu","Red borscht"
"menu.soups.bors-rosu.desc","Красный борщ","Borș roșu","Red borscht"
"menu.soups.chikhirtma-cu-hinkali.name","Chikhirtma с хинкали","Chikhirtma cu hinkali","Chikhirtma with khinkali"
"menu.soups.chikhirtma-cu-hinkali.desc","Белый куриный суп с маленькими хинкали","Supă albă de pui cu hinkali mici","White chicken soup with little khinkali"
"menu.soups.solyanka.name","Solyanka","Solyanka","Solyanka"
"menu.soups.solyanka.desc","Солянка: пять видов мяса, солёные огурчики, маслины, лимон","Solyanka: cinci feluri de carne, castraveciori murați, măsline, lămâie","Solyanka: five kinds of meat, pickles, olives, lemon"
"menu.soups.chikhirtma-cu-carne-de-pui.name","Chikhirtma с курицей","Chikhirtma cu carne de pui","Chicken chikhirtma"
"menu.soups.chikhirtma-cu-carne-de-pui.desc","Чихиртма — бархатный белый куриный суп","Chikhirtma — supă albă catifelată de pui","Chikhirtma — velvety white chicken soup"
"menu.soups.kharcho.name","Kharcho","Kharcho","Kharcho"
"menu.soups.kharcho.desc","Харчо — острый суп с говядиной и рисом","Kharcho — supă picantă cu vită și orez","Kharcho — spicy beef and rice soup"
"menu.hinkali.title","Хинкали","Hinkali","Khinkali"
"menu.hinkali.note","Обычные — 3 шт. Любые хинкали можно взять жареными (la tigaie) — +5 лей.","Porția — 3 buc. Orice hinkali pot fi la tigaie — +5 lei.","A portion is 3 pcs. Any khinkali can be pan-fried — +5 lei."
"menu.hinkali.mama-hinkali.name","Mama Hinkali","Mama Hinkali","Mama Hinkali"
"menu.hinkali.mama-hinkali.desc","Гигантский хинкали на всю компанию","Hinkali gigant pentru toată compania","A giant khinkali for the whole table"
"menu.hinkali.hinkali-cu-carne-de-vita.name","Hinkali с говядиной","Hinkali cu carne de vită","Khinkali with beef"
"menu.hinkali.hinkali-cu-carne-de-vita.desc","С говядиной","Cu carne de vită","With beef"
"menu.hinkali.hinkali-cu-carne-de-vita.variant.0","Отварные","Fierte","Boiled"
"menu.hinkali.hinkali-cu-carne-de-vita.variant.1","Жареные","La tigaie","Pan-fried"
"menu.hinkali.hinkali-mixt-porc-vita.name","Hinkali из свинины и говядины","Hinkali mixt porc-vită","Khinkali with pork and beef"
"menu.hinkali.hinkali-mixt-porc-vita.desc","Свинина-говядина","Porc-vită","Pork and beef"
"menu.hinkali.hinkali-mixt-porc-vita.variant.0","Отварные","Fierte","Boiled"
"menu.hinkali.hinkali-mixt-porc-vita.variant.1","Жареные","La tigaie","Pan-fried"
"menu.hinkali.hinkali-cu-carne-de-miel.name","Hinkali с ягнёнком","Hinkali cu carne de miel","Khinkali with lamb"
"menu.hinkali.hinkali-cu-carne-de-miel.desc","С ягнёнком","Cu carne de miel","With lamb"
"menu.hinkali.hinkali-cu-carne-de-miel.variant.0","Отварные","Fierte","Boiled"
"menu.hinkali.hinkali-cu-carne-de-miel.variant.1","Жареные","La tigaie","Pan-fried"
"menu.hinkali.hinkali-cu-cascaval.name","Hinkali с сыром","Hinkali cu cașcaval","Khinkali with cheese"
"menu.hinkali.hinkali-cu-cascaval.desc","С сыром","Cu cașcaval","With cheese"
"menu.hinkali.hinkali-cu-cascaval.variant.0","Отварные","Fierte","Boiled"
"menu.hinkali.hinkali-cu-cascaval.variant.1","Жареные","La tigaie","Pan-fried"
"menu.khachapuri.title","Хачапури","Haceapuri","Khachapuri"
"menu.khachapuri.adjaruli.name","Adjaruli","Adjaruli","Adjaruli"
"menu.khachapuri.adjaruli.desc","Лодочка с сыром, яйцом и маслом","Luntre cu brânză, ou și unt","Boat with cheese, egg and butter"
"menu.khachapuri.adjaruli.alt","гигант 1700 г — 680","gigant 1700 g — 680","giant 1700 g — 680"
"menu.khachapuri.megruli.name","Megruli","Megruli","Megruli"
"menu.khachapuri.megruli.desc","Мегрули — с сыром сверху и внутри","Megruli — cu brânză deasupra și în interior","Megruli — cheese on top and inside"
"menu.khachapuri.megruli.alt","большой 750 г — 250","mare 750 g — 250","large 750 g — 250"
"menu.khachapuri.regal.name","Regal","Regal","Regal"
"menu.khachapuri.regal.desc","Королевское: двойная порция сыра","Regal: porție dublă de brânză","Royal: a double portion of cheese"
"menu.khachapuri.kubdari.name","Kubdari","Kubdari","Kubdari"
"menu.khachapuri.kubdari.desc","Кубдари — сванский, с мясом","Kubdari — din Svaneti, cu carne","Kubdari — Svanetian, with meat"
"menu.khachapuri.imeruli.name","Imeruli","Imeruli","Imeruli"
"menu.khachapuri.imeruli.desc","Имерули — классический круглый","Imeruli — clasic, rotund","Imeruli — the round classic"
"menu.khachapuri.adjaruli-cu-ceashushuli.name","Adjaruli с Ceashushuli","Adjaruli cu ceashushuli","Adjaruli with Chashushuli"
"menu.khachapuri.adjaruli-cu-ceashushuli.desc","Лодочка с чашушули из телятины или ягнёнка","Luntre cu ceashushuli de vițel sau miel","Boat filled with veal or lamb chashushuli"
"menu.khachapuri.phlovani.name","Phlovani","Phlovani","Phlovani"
"menu.khachapuri.phlovani.desc","Пховани — со шпинатом и сыром","Phlovani — cu spanac și brânză","Phlovani — with spinach and cheese"
"menu.khachapuri.penovani.name","Penovani","Penovani","Penovani"
"menu.khachapuri.penovani.desc","Пеновани — слоёный","Penovani — din foietaj","Penovani — flaky puff pastry"
"menu.mangal.title","Мангал","Mangal","Charcoal grill"
"menu.mangal.mtsvadi.name","Mtsvadi","Mtsvadi","Mtsvadi"
"menu.mangal.mtsvadi.desc","Шашлык на живых углях","Frigărui pe cărbuni încinși","Skewers over live coals"
"menu.mangal.mtsvadi.variant.0","Курица","Pui","Chicken"
"menu.mangal.mtsvadi.variant.1","Свинина","Porc","Pork"
"menu.mangal.mtsvadi.variant.2","Телятина","Vițel","Veal"
"menu.mangal.mtsvadi.variant.3","Ягнёнок","Miel","Lamb"
"menu.mangal.liulea-kebab.name","Liulea-kebab","Liulea-kebab","Liulea-kebab"
"menu.mangal.liulea-kebab.desc","Рубленое мясо с травами, на шампуре","Carne tocată cu ierburi, la frigăruie","Minced meat with herbs, on a skewer"
"menu.mangal.liulea-kebab.variant.0","Курица · 250 г","Pui · 250 g","Chicken · 250 g"
"menu.mangal.liulea-kebab.variant.1","Ягнёнок · 250 г","Miel · 250 g","Lamb · 250 g"
"menu.mangal.liulea-kebab.variant.2","Свинина-телятина · 250 г","Porc-vițel · 250 g","Pork-veal · 250 g"
"menu.mangal.liulea-kebab.variant.3","Свинина-телятина с сыром · 250 г","Porc-vițel cu cașcaval · 250 g","Pork-veal with cheese · 250 g"
"menu.mangal.liulea-kebab.variant.4","Курица с сыром · 300 г","Pui cu cașcaval · 300 g","Chicken with cheese · 300 g"
"menu.mangal.liulea-kebab.variant.5","By Chef · 400 г","By Chef · 400 g","By Chef · 400 g"
